GATE_UW_UI: -302.8649,-1705.867,-192.5101,-1784.364,0,0
GATE_UI_UW: -747.1555,2180.557,-708.3758,2046.353,2,0
UI_D08: -512.7858,2242.343,-578.0066,2043.861,2,1
UI_S04: -593.7711,2070.688,-571.1675,1914.126,2,0
UI_E08: -397.7125,1949.913,-462.4081,1607.481,2,1
UI_D07: -170.1554,1621.559,-467.3761,1455.355,2,0
UI_L01: 34.61487,1408.446,-21.68413,1230.896,0,5
UI_AI: 75.48756,1485.94,323.2068,1397.652,1,0
UI_E07: 43.61486,898.4474,82.3159,796.8971,0,5
UI_E06: 32.61482,561.4474,-129.6845,671.8971,0,1
UI_C08: 240.6148,311.4473,103.3158,391.8971,0,1
UI_A14: 995.6144,710.4469,809.3157,793.8971,0,2
UI_LAB13: 1156.615,711.4469,954.3157,792.8971,0,2
UI_A01: 1316.615,711.4469,1092.316,791.8971,0,2
UI_D02: 580.6147,534.4474,417.3159,586.8971,0,2
UI_LAB8: 829.6152,587.4474,663.3157,672.8971,0,2
UI_LAB1: 993.6147,590.4474,813.3157,664.8971,0,2
UI_LAB2: 1155.615,586.4469,950.3157,662.8971,0,2
UI_LAB6: 1315.615,587.4469,1090.316,662.8971,0,2
UI_A17: 547.6152,352.4473,454.3161,406.8971,0,1
UI_E03: 543.6152,-19.55269,451.3159,-47.10305,0,1
UI_LAB7: 829.6147,469.4474,664.3157,532.8971,0,2
UI_LAB9: 995.6152,469.4474,811.3157,530.8971,0,2
UI_LAB3: 1157.615,469.4471,950.3157,529.8971,0,2
UI_LAB12: 1314.615,470.4471,1088.316,529.8971,0,0
UI_LAB11: 831.6147,349.4473,660.3157,382.8971,0,0
UI_LAB10: 993.6147,351.4473,809.3157,382.8971,0,4
UI_LAB5: 1155.615,350.4473,950.3157,382.8971,0,4
UI_LAB4: 1312.615,351.4473,1089.316,381.8971,0,4
UI_E05: 1314.799,3.846988,1092.316,-61.10312,1,4
UI_I03: -587.3848,578.4474,-468.6841,595.8971,0,3
UI_C07: -1393.385,587.4474,-893.6843,687.8971,0,3
UI_C03: -1706.385,447.4474,-1228.684,511.8971,0,3
UI_B02: -1215.385,216.447,-829.6843,397.8971,0,3
UI_S05: -1059.643,280.9286,-711.6857,483.9863,0,0
UI_A16: -1708.385,223.4473,-1231.684,340.8971,0,3
UI_A03: -1701.385,116.4473,-1233.684,193.897,0,1
UI_A15: -1670.385,8.447286,-1220.684,25.89688,0,1
UI_E02: -1210.385,3.447318,-1031.684,20.8969,0,1
UI_A04: -1109.385,-259.5527,-755.6843,-92.10303,0,1
UI_B06: -863.3848,-310.5527,-645.6843,-128.103,0,1
UI_A11: -612.3848,295.4473,-377.6841,280.897,0,3
UI_D03: -627.3853,78.44704,-443.6841,24.8969,0,3
UI_D04: -550.3853,-417.5527,-388.6839,-238.1029,0,1
UI_C04: 353.6148,-399.5527,223.3155,-181.103,0,1
UI_C06: -1662.385,-226.5528,-1226.684,-286.1029,0,1
UI_H01: -1345.385,-515.5526,-1129.684,-471.103,0,1
UI_F02: -995.3849,-817.5526,-794.6843,-754.1029,0,1
UI_S02: -1092.765,-574.0771,-705.555,-438.1897,1,0
